start,relation,end,date
ch12,role-in-disease-pathogenesis,di42,2024/11/30
ch12,role-in-disease-pathogenesis,di53,2024/11/30
ch9,treatment,di53,2024/11/30
ch0,treatment,di19,2024/11/30
ch0,treatment,di66,2024/11/30
ch0,treatment,di105,2024/11/30
ch3,treatment,di83,2024/11/30
ch3,treatment,di102,2024/11/30
ch6,treatment,di83,2024/11/30
ch6,treatment,di102,2024/11/30
ch3,treatment,di19,2024/11/30
ch5,prevents,di16,2024/11/30
ch5,treatment,di57,2024/11/30
ch2,treatment,di96,2024/11/30
ch2,treatment,di27,2024/11/30
ch7,treatment,di8,2024/11/30
ch7,treatment,di51,2024/11/30
ch7,treatment,di53,2024/11/30
ch1,treatment,di37,2024/11/30
ch1,treatment,di39,2024/11/30
ch1,treatment,di10,2024/11/30
ch1,treatment,di31,2024/11/30
ch5,treatment,di29,2024/11/30
ch5,treatment,di43,2024/11/30
ch5,treatment,di101,2024/11/30
ch4,treatment,di32,2024/11/30
ch8,treatment,di34,2024/11/30
ch8,treatment,di42,2024/11/30
ch8,treatment,di63,2024/11/30
ch5,treatment,di42,2024/11/30
ch5,treatment,di51,2024/11/30
