start,relation,end,date
arginine,antagonism,type II protein arginine methyltransferase,2024/11/30
arginine,antagonism,PRMT5,2024/11/30
YZ 836P,antagonism,KLF5,2024/11/30
YZ 836P,antagonism,CRBN,2024/11/30
YZ 836P,antagonism,PRMT5,2024/11/30
glutathione,decreases-expression,glutathione peroxidase,2024/11/30
glutathione,antagonism,GSH PX,2024/11/30
GSH,antagonism,GSH PX,2024/11/30
iron,binding,extracellular matrix,2024/11/30
hesperetin,antagonism,HFPN,2024/11/30
hesperetin,antagonism,hesperetin,2024/11/30
hesperetin,antagonism,aurora kinase A,2024/11/30
hesperetin,antagonism,AURKA,2024/11/30
iron,antagonism,periostin,2024/11/30
iron,binding,TME,2024/11/30
iron,antagonism,WDFY4,2024/11/30
oxygen,antagonism,ROS,2024/11/30
