start,relation,end,date
ch12,antagonism,ge11,2024/11/30
ch12,antagonism,ge69,2024/11/30
ch9,antagonism,ge41,2024/11/30
ch9,antagonism,ge18,2024/11/30
ch9,antagonism,ge69,2024/11/30
ch0,decreases-expression,ge24,2024/11/30
ch0,antagonism,ge50,2024/11/30
ch3,antagonism,ge50,2024/11/30
ch5,binding,ge43,2024/11/30
ch7,antagonism,ge63,2024/11/30
ch7,antagonism,ge72,2024/11/30
ch7,antagonism,ge7,2024/11/30
ch7,antagonism,ge47,2024/11/30
ch5,antagonism,ge6,2024/11/30
ch5,binding,ge49,2024/11/30
ch5,antagonism,ge56,2024/11/30
ch4,antagonism,ge35,2024/11/30
