start,relation,end,date
ge11,regulation,ge69,2024/11/30
ge41,binding,ge69,2024/11/30
ge18,binding,ge69,2024/11/30
ge24,regulation,ge50,2024/11/30
ge43,activates,ge49,2024/11/30
ge47,binding,ge72,2024/11/30
ge63,activates,ge72,2024/11/30
ge7,binding,ge47,2024/11/30
ge7,regulation,ge72,2024/11/30
ge47,regulation,ge63,2024/11/30
ge2,regulation,ge43,2024/11/30
ge28,regulation,ge43,2024/11/30
ge2,regulation,ge10,2024/11/30
ge2,regulation,ge49,2024/11/30
ge2,regulation,ge28,2024/11/30
ge2,regulation,ge40,2024/11/30
ge28,regulation,ge40,2024/11/30
ge28,regulation,ge49,2024/11/30
ge17,regulation,ge65,2024/11/30
ge6,regulation,ge28,2024/11/30
ge6,binding,ge43,2024/11/30
ge6,binding,ge49,2024/11/30
ge6,regulation,ge65,2024/11/30
ge15,regulation,ge58,2024/11/30
ge15,regulation,ge21,2024/11/30
ge15,regulation,ge25,2024/11/30
ge15,binding,ge70,2024/11/30
ge14,activates,ge51,2024/11/30
ge14,binding,ge28,2024/11/30
ge14,binding,ge43,2024/11/30
ge14,binding,ge75,2024/11/30
ge28,binding,ge35,2024/11/30
ge1,regulation,ge14,2024/11/30
ge1,regulation,ge23,2024/11/30
ge3,binding,ge59,2024/11/30
ge3,binding,ge21,2024/11/30
ge3,binding,ge26,2024/11/30
ge3,binding,ge34,2024/11/30
ge3,binding,ge48,2024/11/30
ge3,regulation,ge16,2024/11/30
ge55,binding,ge74,2024/11/30
ge4,activates,ge19,2024/11/30
ge4,binding,ge66,2024/11/30
ge4,binding,ge64,2024/11/30
ge4,regulation,ge38,2024/11/30
ge42,binding,ge66,2024/11/30
ge27,regulation,ge54,2024/11/30
ge29,binding,ge39,2024/11/30
ge29,binding,ge57,2024/11/30
ge12,regulation,ge31,2024/11/30
ge12,regulation,ge52,2024/11/30
ge1,regulation,ge12,2024/11/30
ge1,binding,ge68,2024/11/30
ge52,binding,ge60,2024/11/30
ge12,regulation,ge60,2024/11/30
ge29,regulation,ge36,2024/11/30
ge36,regulation,ge62,2024/11/30
ge44,regulation,ge73,2024/11/30
ge8,activates,ge45,2024/11/30
ge13,binding,ge44,2024/11/30
ge8,binding,ge13,2024/11/30
ge8,regulation,ge44,2024/11/30
ge8,regulation,ge71,2024/11/30
