id,type,entity
ch1263,Chemical,lathyrol
ch4632,Chemical,TCA
ge9133,Gene,cFos
ge18442,Gene,STING1CXCR3
di1047,Disease,SKLU1
di503,Disease,murine
di7169,Disease,OMs
di9276,Disease,Aneuploid
ch3565,Chemical,Ureamediated
ge12301,Gene,BRD4as
ge227,Gene,EGFRDNAtargeting
ge9435,Gene,CCL22
ch5610,Chemical,GCA
ge16647,Gene,hsacirc0070661
ge15833,Gene,CD4Foxp3
ge4444,Gene,IL7
ge9774,Gene,p97
ch287,Chemical,diphosphane
di11766,Disease,ADOs
di15620,Disease,NSIP
ge9780,Gene,IL36s
ch3804,Chemical,LPA
di5676,Disease,COVID19LUSC
di11904,Disease,dermatitislike
ge3809,Gene,TP53I3
ge10152,Gene,TLR1234578
ge12050,Gene,split1Hes1
di2676,Disease,endophthalmitis
di14975,Disease,POC
ge2816,Gene,LUADIGF2BP2
ge11775,Gene,tepotinib
ge7367,Gene,KRASm
ge20971,Gene,Circ0030411
ch3685,Chemical,gilteritinibtreated
ch77,Chemical,CH7233163
ge6265,Gene,CD276
ge2481,Gene,cortactin
ge15589,Gene,TRAIPassociated
ch1754,Chemical,8hydroxyquinoline
di7180,Disease,BM
ch2379,Chemical,AZD7545
ge16197,Gene,Trp53null
di10095,Disease,pCR
ge4398,Gene,CSE1L
ge7318,Gene,circ0009624PDL1
di386,Disease,Neuroendocrinelownegative
di11132,Disease,FARSB
ge3751,Gene,cMetSOX2
ge14666,Gene,hEno1positive
ge2382,Gene,EphA1
ge10374,Gene,HMGB1low
di14143,Disease,TRM
ch3840,Chemical,Kyn
ge10350,Gene,pmob1mob1
ge3988,Gene,microRNA9425psponges
ge20684,Gene,MicroRNA5083p
ge4230,Gene,Tnfalpha
di4536,Disease,carcinosarcoma
di1068,Disease,falls
ge10228,Gene,TPM
ch2533,Chemical,Chloride
ge12155,Gene,p21guided
ch900,Chemical,Engeletin
ge8857,Gene,TMB
di12682,Disease,PED
ge18067,Gene,GSHROS
ge1221,Gene,MPTP
ge13005,Gene,IL1betaRA
di4104,Disease,CLMs
ge7707,Gene,PDGFRA
ge367,Gene,Kinase
ch5605,Chemical,67dihydroxycoumarin
ch1197,Chemical,hsamiR378g
ch2290,Chemical,flavonoids
di12148,Disease,BNML
ch5100,Chemical,VIP
ge9138,Gene,circATP9A
ge15524,Gene,PD1programmed
ch630,Chemical,argininosuccinate
ge2549,Gene,BAP1wKO
di7139,Disease,Anaplastic
di6592,Disease,FRS
ge4482,Gene,ABCC4
ge3635,Gene,pEGFREGFR
ge2687,Gene,CECs
di1396,Disease,pLELC
ge19227,Gene,tyrosinekinase
ge6801,Gene,pP70S6KP70S6K
ch3998,Chemical,urate
ch374,Chemical,MDX01020
ge20269,Gene,lectinbinding
ch409,Chemical,Kynurenine
ge20141,Gene,MYCMAX
di1682,Disease,LUSCs
ge4324,Gene,IL15
ge379,Gene,CMPTBA
di2248,Disease,MSTO
ge20145,Gene,PDE4A
di10783,Disease,HS
di15013,Disease,TCM
ge9230,Gene,Tel2Tti1Tti2
ge17444,Gene,T308
ge11104,Gene,Pcdh10
ge19853,Gene,C3only
ge6846,Gene,TF
ge3519,Gene,EGFRacquired
ch1248,Chemical,nucleoside
ch3327,Chemical,F18fluorodeoxyglucose
ch1852,Chemical,noscapine
ch3069,Chemical,spiroindeno12bquinoxalinebased
ge11804,Gene,chk2mediated
ge17583,Gene,Flt3L
ge10698,Gene,gammaH2AX
ge12901,Gene,mSWISNFmediated
ch5961,Chemical,CoIP
ge12225,Gene,HSPGs
ch3947,Chemical,Sevoflurane
ge19902,Gene,RTKRAS
ch3971,Chemical,BLU945
ge14026,Gene,CKLF
ch3790,Chemical,tertbutyloxycarbonyl
di8740,Disease,Amyloidosis
ge12424,Gene,EGFRpanEGFR
ge14941,Gene,S100A8
di15603,Disease,PILMS
ge16363,Gene,betagalactosidase
ge6783,Gene,PTPRD
ge5038,Gene,OXCrtQ
ch599,Chemical,aminophenoxy
di4669,Disease,dupilumabinduced
ge15702,Gene,Engeletin
ge9728,Gene,P22phox
ge20325,Gene,GSHtoGSSH
ge12763,Gene,SNORA71A
ge14009,Gene,S100A4FDG
ge13619,Gene,MeRIP
di8076,Disease,PF
ge15489,Gene,PDZbinding
ge5289,Gene,p21waf1cip1
ge14073,Gene,ATAD2
di10748,Disease,PHN
ge1342,Gene,NDRG1006
ge15395,Gene,ZZZ3
ge4414,Gene,Circ0008928
ge19042,Gene,clathrinmediated
ge10431,Gene,HGF
ge21260,Gene,nonreceptorkinases
di311,Disease,MetS
ge18980,Gene,BDNF
ge14584,Gene,CD13CD14CD15CD33
ge120,Gene,EVpackaged
ge4964,Gene,USP15MMP3
ge7100,Gene,interleukins
ge6322,Gene,TLRactivated
ge9928,Gene,CTXOLAALBNPs
ch1061,Chemical,proteinserinethreonine
ge15945,Gene,endothelin1
ch4782,Chemical,PPD
ch1288,Chemical,isoscabertopin
ch1890,Chemical,KW0761
di9211,Disease,SLCL
ch919,Chemical,99mTc3PRGD2
ge1509,Gene,METamplified
ge9429,Gene,shRNAGPR78
ge6851,Gene,AKR1B10
di4493,Disease,OSAIH
ge13948,Gene,SMARCA24
ch4137,Chemical,Norepinephrine
ge4859,Gene,5mTHF
ge19654,Gene,STK11KEAP1SMARCA4
ch5430,Chemical,anthramycin
ge13710,Gene,CYP2C19
ge15492,Gene,clathrin
ge13115,Gene,DNAPKcsOCT4cMYC
ge1247,Gene,AURKB
ge18480,Gene,HGFcMet
ge2228,Gene,ACADM
ge7691,Gene,LILRB2
ge5558,Gene,miR4428
ge17481,Gene,EGFRmutations
ch275,Chemical,celltissueoforigin
di3444,Disease,GGO
ge12762,Gene,TANs
di13135,Disease,ALPS
ge18073,Gene,ROR2
ge14917,Gene,MBYF
ch2568,Chemical,AG1478
ge2998,Gene,ST3GAL5synthesized
ge10339,Gene,SIRPalphaknockout
ge15061,Gene,YAPinduced
ch4304,Chemical,Niraparib
